ow_cpu200-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_813c-policy_FGDPredictor1000desharemd6126-de_share-gs_FGDPredictorScore-scmd_6126-used_nodes,ow_cpu200-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_813c-policy_FGDPredictor1000desharemd6126-de_share-gs_FGDPredictorScore-scmd_6126-used_gpus,ow_cpu200-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_813c-policy_FGDPredictor1000desharemd6126-de_share-gs_FGDPredictorScore-scmd_6126-used_gpu_milli,ow_cpu200-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_813c-policy_FGDPredictor1000desharemd6126-de_share-gs_FGDPredictorScore-scmd_6126-total_gpus,ow_cpu200-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_813c-policy_FGDPredictor1000desharemd6126-de_share-gs_FGDPredictorScore-scmd_6126-arrived_gpu_milli
1,8,0,6212,0
1,8,0,6212,0
2,10,650,6212,650
2,10,1650,6212,1650
2,10,1880,6212,1880
3,12,2880,6212,2880
3,12,3880,6212,3880
4,20,4880,6212,4880
4,20,5880,6212,5880
5,21,6340,6212,6340
6,22,6570,6212,6570
7,23,7570,6212,7570
8,24,8030,6212,8030
9,25,8840,6212,8840
10,26,9840,6212,9840
10,26,10840,6212,10840
11,27,11300,6212,11300
12,28,11770,6212,11770
12,28,12770,6212,12770
12,28,13770,6212,13770
12,28,13770,6212,13770
13,29,13990,6212,13990
13,29,13990,6212,13990
13,29,14990,6212,14990
14,37,15990,6212,15990
14,37,16990,6212,16990
14,37,17990,6212,17990
15,38,18800,6212,18800
16,39,19610,6212,19610
16,39,20610,6212,20610
17,40,21610,6212,21610
17,40,22610,6212,22610
17,40,23610,6212,23610
17,40,23610,6212,23610
18,41,24420,6212,24420
18,41,24420,6212,24420
18,41,24420,6212,24420
19,42,25420,6212,25420
20,43,25880,6212,25880
21,44,26880,6212,26880
22,52,34880,6212,34880
23,54,35880,6212,35880
23,54,36880,6212,36880
24,55,37690,6212,37690
25,63,38690,6212,38690
25,63,39690,6212,39690
25,63,40690,6212,40690
26,64,41010,6212,41010
26,64,42010,6212,42010
27,66,43010,6212,43010
27,66,44010,6212,44010
27,66,44660,6212,44660
28,74,45660,6212,45660
29,75,46470,6212,46470
29,75,47470,6212,47470
29,75,48470,6212,48470
29,75,49470,6212,49470
29,75,50470,6212,50470
29,75,51470,6212,51470
30,77,52470,6212,52470
31,78,53280,6212,53280
31,78,53280,6212,53280
31,78,53500,6212,53500
31,78,53500,6212,53500
31,78,53500,6212,53500
31,78,54500,6212,54500
32,79,55310,6212,55310
32,79,55310,6212,55310
33,81,55780,6212,55780
33,81,56250,6212,56250
33,81,56720,6212,56720
34,83,57720,6212,57720
34,83,57720,6212,57720
34,83,58720,6212,58720
35,91,59720,6212,59720
36,92,60530,6212,60530
36,92,61000,6212,61000
36,92,61470,6212,61470
36,92,61470,6212,61470
36,92,61930,6212,61930
36,92,62930,6212,62930
36,92,62930,6212,62930
36,92,63160,6212,63160
37,94,64160,6212,64160
38,96,65160,6212,65160
38,96,65630,6212,65630
38,96,66440,6212,66440
38,96,67440,6212,67440
39,98,68440,6212,68440
39,98,69440,6212,69440
40,100,69910,6212,69910
41,108,77910,6212,77910
41,108,78370,6212,78370
42,112,79020,6212,79020
42,112,79020,6212,79020
42,112,79020,6212,79020
42,112,79180,6212,79180
42,112,79990,6212,79990
42,112,80990,6212,80990
43,116,81990,6212,81990
43,116,82990,6212,82990
43,116,83990,6212,83990
43,116,84800,6212,84800
43,116,85800,6212,85800
43,116,85910,6212,85910
44,124,93910,6212,93910
45,126,94910,6212,94910
45,126,95460,6212,95460
45,126,96460,6212,96460
45,126,97460,6212,97460
46,128,98270,6212,98270
46,128,99270,6212,99270
47,132,100270,6212,100270
48,134,102270,6212,102270
48,134,102740,6212,102740
49,136,103740,6212,103740
49,136,105740,6212,105740
49,136,105970,6212,105970
49,136,105970,6212,105970
49,136,106970,6212,106970
49,136,106970,6212,106970
49,136,106970,6212,106970
49,136,107780,6212,107780
49,136,108780,6212,108780
49,136,108780,6212,108780
49,136,109780,6212,109780
49,136,109780,6212,109780
49,136,110250,6212,110250
49,136,110470,6212,110470
50,144,111470,6212,111470
50,144,112470,6212,112470
50,144,112470,6212,112470
50,144,113470,6212,113470
50,144,114470,6212,114470
50,144,114790,6212,114790
50,144,114790,6212,114790
50,144,115790,6212,115790
50,144,116790,6212,116790
50,144,117790,6212,117790
50,144,118790,6212,118790
51,148,119790,6212,119790
51,148,120790,6212,120790
51,148,121110,6212,121110
52,156,121580,6212,121580
52,156,121900,6212,121900
52,156,122900,6212,122900
52,156,122900,6212,122900
52,156,123710,6212,123710
52,156,124710,6212,124710
52,156,125710,6212,125710
52,156,125710,6212,125710
52,156,126710,6212,126710
52,156,127710,6212,127710
52,156,128520,6212,128520
52,156,129520,6212,129520
52,156,130520,6212,130520
52,156,131170,6212,131170
52,156,132170,6212,132170
52,156,133170,6212,133170
53,164,134170,6212,134170
53,164,135170,6212,135170
53,164,135640,6212,135640
53,164,136640,6212,136640
53,164,136640,6212,136640
53,164,136640,6212,136640
53,164,137110,6212,137110
53,164,137660,6212,137660
53,164,138660,6212,138660
53,164,139660,6212,139660
53,164,140660,6212,140660
54,166,141470,6212,141470
54,166,141940,6212,141940
54,166,142940,6212,142940
55,174,143940,6212,143940
55,174,144750,6212,144750
55,174,145750,6212,145750
55,174,146070,6212,146070
55,174,147070,6212,147070
55,174,148070,6212,148070
55,174,148070,6212,148070
55,174,148540,6212,148540
55,174,148540,6212,148540
55,174,149010,6212,149010
56,182,150010,6212,150010
56,182,150010,6212,150010
56,182,150010,6212,150010
56,182,150820,6212,150820
56,182,151820,6212,151820
56,182,152470,6212,152470
56,182,153470,6212,153470
56,182,153790,6212,153790
56,182,154790,6212,154790
56,182,155260,6212,155260
56,182,156260,6212,156260
56,182,156630,6212,156630
56,182,156630,6212,156630
57,184,157100,6212,157100
57,184,157100,6212,157100
57,184,157910,6212,157910
57,184,158380,6212,158380
57,184,158700,6212,158700
57,184,158700,6212,158700
57,184,159700,6212,159700
58,192,160350,6212,160350
58,192,161160,6212,161160
58,192,161750,6212,161750
58,192,162560,6212,162560
58,192,163560,6212,163560
58,192,163560,6212,163560
58,192,164560,6212,164560
58,192,165370,6212,165370
58,192,165370,6212,165370
58,192,166020,6212,166020
58,192,166250,6212,166250
58,192,166480,6212,166480
58,192,166800,6212,166800
59,200,167610,6212,167610
59,200,167610,6212,167610
59,200,168070,6212,168070
59,200,168290,6212,168290
59,200,169290,6212,169290
59,200,169450,6212,169450
59,200,170000,6212,170000
59,200,170000,6212,170000
59,200,171000,6212,171000
59,200,171810,6212,171810
59,200,172810,6212,172810
59,200,172810,6212,172810
59,200,173810,6212,173810
59,200,173810,6212,173810
59,200,174270,6212,174270
60,202,175270,6212,175270
60,202,175270,6212,175270
60,202,176270,6212,176270
61,204,177270,6212,177270
61,204,178270,6212,178270
61,204,178430,6212,178430
62,206,179430,6212,179430
62,206,179430,6212,179430
62,206,180430,6212,180430
63,208,181430,6212,181430
63,208,182430,6212,182430
63,208,182890,6212,182890
63,208,182890,6212,182890
64,210,183890,6212,183890
64,210,184700,6212,184700
65,218,185700,6212,185700
65,218,186350,6212,186350
65,218,186350,6212,186350
65,218,186900,6212,186900
66,220,187710,6212,187710
66,220,188710,6212,188710
66,220,188710,6212,188710
66,220,188710,6212,188710
66,220,188710,6212,188710
66,220,188710,6212,188710
66,220,188710,6212,188710
66,220,189710,6212,189710
66,220,190710,6212,190710
66,220,190820,6212,190820
66,220,190820,6212,190820
66,220,190820,6212,190820
66,220,190820,6212,190820
66,220,191290,6212,191290
66,220,192290,6212,192290
67,228,193290,6212,193290
67,228,194100,6212,194100
67,228,194420,6212,194420
67,228,195420,6212,195420
67,228,196230,6212,196230
67,228,197230,6212,197230
67,228,197700,6212,197700
67,228,198700,6212,198700
67,228,199700,6212,199700
67,228,199700,6212,199700
67,228,200700,6212,200700
67,228,201510,6212,201510
68,236,201980,6212,201980
68,236,202980,6212,202980
68,236,203980,6212,203980
68,236,203980,6212,203980
68,236,204570,6212,204570
68,236,204570,6212,204570
68,236,205570,6212,205570
68,236,205890,6212,205890
68,236,206890,6212,206890
68,236,207890,6212,207890
68,236,208360,6212,208360
68,236,209360,6212,209360
68,236,210360,6212,210360
68,236,211360,6212,211360
69,238,212360,6212,212360
69,238,213360,6212,213360
70,246,214360,6212,214360
70,246,215360,6212,215360
70,246,216360,6212,216360
70,246,217360,6212,217360
70,246,218360,6212,218360
70,246,219170,6212,219170
70,246,220170,6212,220170
70,246,221170,6212,221170
70,246,221170,6212,221170
71,254,222170,6212,222170
71,254,223170,6212,223170
72,262,231170,6212,231170
72,262,232170,6212,232170
72,262,233170,6212,233170
72,262,233170,6212,233170
72,262,234170,6212,234170
72,262,235170,6212,235170
73,264,235980,6212,235980
73,264,236980,6212,236980
74,266,237980,6212,237980
74,266,238980,6212,238980
74,266,239450,6212,239450
74,266,239450,6212,239450
74,266,239920,6212,239920
74,266,240730,6212,240730
75,274,241730,6212,241730
75,274,242730,6212,242730
75,274,243730,6212,243730
75,274,244730,6212,244730
75,274,245200,6212,245200
75,274,245200,6212,245200
75,274,245670,6212,245670
76,282,246670,6212,246670
