ow_gpushare100-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_11a2-policy_FGDPredictor1000desharemd6126-de_share-gs_FGDPredictorScore-scmd_6126-used_nodes,ow_gpushare100-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_11a2-policy_FGDPredictor1000desharemd6126-de_share-gs_FGDPredictorScore-scmd_6126-used_gpus,ow_gpushare100-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_11a2-policy_FGDPredictor1000desharemd6126-de_share-gs_FGDPredictorScore-scmd_6126-used_gpu_milli,ow_gpushare100-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_11a2-policy_FGDPredictor1000desharemd6126-de_share-gs_FGDPredictorScore-scmd_6126-total_gpus,ow_gpushare100-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_11a2-policy_FGDPredictor1000desharemd6126-de_share-gs_FGDPredictorScore-scmd_6126-arrived_gpu_milli
1,4,0,6212,0
2,6,650,6212,650
2,6,1120,6212,1120
3,7,1930,6212,1930
3,7,1930,6212,1930
3,7,2250,6212,2250
4,8,3060,6212,3060
5,9,3870,6212,3870
5,9,4340,6212,4340
6,11,4660,6212,4660
7,12,5470,6212,5470
7,12,5940,6212,5940
7,12,6260,6212,6260
8,13,7070,6212,7070
8,13,7540,6212,7540
9,15,8190,6212,8190
9,15,8650,6212,8650
10,16,9200,6212,9200
10,16,9200,6212,9200
11,17,9850,6212,9850
12,18,10660,6212,10660
13,19,11470,6212,11470
13,19,11790,6212,11790
14,20,12600,6212,12600
14,20,13070,6212,13070
15,28,13540,6212,13540
15,28,14010,6212,14010
16,29,14820,6212,14820
17,30,15630,6212,15630
17,30,16100,6212,16100
18,31,16910,6212,16910
19,32,17720,6212,17720
19,32,17720,6212,17720
20,33,18530,6212,18530
21,34,19340,6212,19340
22,35,19930,6212,19930
22,35,20400,6212,20400
23,37,20630,6212,20630
23,37,20630,6212,20630
23,37,21280,6212,21280
23,37,21870,6212,21870
23,37,22340,6212,22340
23,37,23150,6212,23150
23,37,23380,6212,23380
23,37,24030,6212,24030
24,45,24680,6212,24680
24,45,25150,6212,25150
