name,ip,model,cpu,gpu,memory_mib,gpu_mem_mib_each,num_pod,cpu_milli_left,memory_mib_left,gpu_milli_left_0,gpu_mem_mib_left_0,gpu_milli_left_1,gpu_mem_mib_left_1,gpu_milli_left_2,gpu_mem_mib_left_2,gpu_milli_left_3,gpu_mem_mib_left_3,gpu_milli_left_4,gpu_mem_mib_left_4,gpu_milli_left_5,gpu_mem_mib_left_5,gpu_milli_left_6,gpu_mem_mib_left_6,gpu_milli_left_7,gpu_mem_mib_left_7,gpu_milli_left,gpu_mem_mib_left
0000-openb-node-0991,,G2,96,8,412316860416,20000,4,3300,412316860416,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0001-openb-node-0923,,G2,96,8,412316860416,20000,4,3300,412316860416,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0002-openb-node-0034,,G2,96,8,412316860416,20000,2,0,412316860416,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0003-openb-node-0061,,G2,96,8,412316860416,20000,3,3900,412316860416,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0004-openb-node-0882,,T4,104,2,549755813888,15109,9,400,549755813888,80,1208,0,0,0,0,0,0,0,0,0,0,0,0,0,0,80,1208
0005-openb-node-1095,,T4,104,2,549755813888,15109,2,91038,549755813888,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0006-openb-node-0095,,G2,96,8,412316860416,20000,2,0,412316860416,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0007-openb-node-0770,,G2,96,8,412316860416,20000,2,0,412316860416,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0008-openb-node-0263,,P100,16,2,128849018880,16280,2,348,128849018880,410,6674,1000,16280,0,0,0,0,0,0,0,0,0,0,0,0,1410,22954
0009-openb-node-0057,,T4,96,4,412316860416,15109,2,3800,412316860416,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0010-openb-node-1099,,T4,104,2,549755813888,15109,8,292,549755813888,100,1510,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,1510
0011-openb-node-0541,,G2,96,8,412316860416,20000,2,0,412316860416,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0012-openb-node-0700,,T4,104,2,549755813888,15109,7,2382,549755813888,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0013-openb-node-0964,,P100,16,2,128849018880,16280,3,448,128849018880,0,0,50,814,0,0,0,0,0,0,0,0,0,0,0,0,50,814
0014-openb-node-1098,,T4,104,2,549755813888,15109,8,3140,549755813888,0,0,30,453,0,0,0,0,0,0,0,0,0,0,0,0,30,453
0015-openb-node-0780,,T4,104,2,549755813888,15109,6,3276,549755813888,30,453,60,906,0,0,0,0,0,0,0,0,0,0,0,0,90,1359
0016-openb-node-0660,,G2,96,8,412316860416,20000,3,3900,412316860416,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0017-openb-node-0129,,T4,104,2,549755813888,15109,6,5100,549755813888,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0018-openb-node-1094,,T4,104,2,549755813888,15109,6,3892,549755813888,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0019-openb-node-1005,,T4,104,2,549755813888,15109,2,88940,549755813888,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0020-openb-node-0109,,G2,96,8,412316860416,20000,3,2800,412316860416,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0021-openb-node-1120,,T4,104,2,549755813888,15109,3,87548,549755813888,0,0,50,755,0,0,0,0,0,0,0,0,0,0,0,0,50,755
0022-openb-node-0559,,G2,96,8,412316860416,20000,3,2800,412316860416,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0023-openb-node-0787,,T4,104,2,549755813888,15109,5,400,549755813888,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0024-openb-node-0223,,G2,96,8,412316860416,20000,3,6800,412316860416,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0025-openb-node-0897,,V100M16,8,1,34359738368,16160,2,848,34359738368,30,484,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30,484
0026-openb-node-0079,,T4,96,4,412316860416,15109,4,11800,412316860416,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0027-openb-node-0132,,T4,104,2,549755813888,15109,2,88700,549755813888,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0028-openb-node-0500,,G2,96,8,412316860416,20000,3,3900,412316860416,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0029-openb-node-0639,,T4,104,2,549755813888,15109,7,4892,549755813888,10,151,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,151
0030-openb-node-1074,,G2,96,8,412316860416,20000,3,6800,412316860416,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0031-openb-node-0627,,P100,16,2,128849018880,16280,2,92,128849018880,210,3418,1000,16280,0,0,0,0,0,0,0,0,0,0,0,0,1210,19698
